-2.054983475760120692e-01,3.759739305540136245e-01,4.431206810592134282e-01,-1.745631746394031625e+00,5.501317100249965009e-01,2.661999958408423961e+00,-2.450192044177526285e-01
-2.054983475411922833e-01,3.759739304864265774e-01,4.431206809860067652e-01,-1.745631746397528827e+00,5.501317099291247459e-01,2.661999958317783577e+00,-2.450192042490020039e-01
-2.054983472982916393e-01,3.759739300149433916e-01,4.431206804753217154e-01,-1.745631746421925756e+00,5.501317092603293935e-01,2.661999957685480478e+00,-2.450192030718082170e-01
-2.054983466415288285e-01,3.759739287401315799e-01,4.431206790945145801e-01,-1.745631746487890990e+00,5.501317074520183370e-01,2.661999955975839161e+00,-2.450191998888726075e-01
-2.054983453676219873e-01,3.759739262674100524e-01,4.431206764161964573e-01,-1.745631746615841973e+00,5.501317039444814094e-01,2.661999952659688695e+00,-2.450191937150097421e-01
-2.054983432757785111e-01,3.759739222070296871e-01,4.431206720182122027e-01,-1.745631746825946351e+00,5.501316981848622945e-01,2.661999947214340079e+00,-2.450191835770983984e-01
-2.054983401676850896e-01,3.759739161740536795e-01,4.431206654836191139e-01,-1.745631747138122636e+00,5.501316896271308821e-01,2.661999939123556924e+00,-2.450191685140327147e-01
-2.054983358474974653e-01,3.759739077883378355e-01,4.431206564006656135e-01,-1.745631747572041537e+00,5.501316777320557350e-01,2.661999927877529704e+00,-2.450191475766731186e-01
-2.054983301218304692e-01,3.759738966745111433e-01,4.431206443627700442e-01,-1.745631748147126405e+00,5.501316619671757779e-01,2.661999912972851767e+00,-2.450191198277974769e-01
-2.054983227997478068e-01,3.759738824619561215e-01,4.431206289684996302e-01,-1.745631748882555234e+00,5.501316418067727643e-01,2.661999893912490478e+00,-2.450190843420521625e-01
-2.054983136927520659e-01,3.759738647847890025e-01,4.431206098215489941e-01,-1.745631749797260213e+00,5.501316167318435202e-01,2.661999870205761010e+00,-2.450190402059030659e-01
-2.054983026147745029e-01,3.759738432818405252e-01,4.431205865307190073e-01,-1.745631750909930169e+00,5.501315862300720783e-01,2.661999841368301922e+00,-2.450189865175866344e-01
-2.054982893821650503e-01,3.759738175966360063e-01,4.431205587098956400e-01,-1.745631752239011014e+00,5.501315497958015888e-01,2.661999806922047629e+00,-2.450189223870610222e-01
-2.054982738136821585e-01,3.759737873773758010e-01,4.431205259780286454e-01,-1.745631753802706632e+00,5.501315069300072302e-01,2.661999766395201750e+00,-2.450188469359570465e-01
-2.054982557304826651e-01,3.759737522769159290e-01,4.431204879591102430e-01,-1.745631755618979986e+00,5.501314571402675657e-01,2.661999719322211799e+00,-2.450187592975293371e-01
-2.054982349561118304e-01,3.759737119527481464e-01,4.431204442821541911e-01,-1.745631757705554010e+00,5.501313999407372313e-01,2.661999665243742985e+00,-2.450186586166072655e-01
-2.054982113164930957e-01,3.759736660669804609e-01,4.431203945811741929e-01,-1.745631760079913164e+00,5.501313348521191804e-01,2.661999603706649786e+00,-2.450185440495461497e-01
-2.054981846399180079e-01,3.759736142863177033e-01,4.431203384951628577e-01,-1.745631762759303429e+00,5.501312614016365954e-01,2.661999534263952416e+00,-2.450184147641782384e-01
