time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
2299965440.000000,-0.000125,-0.785231,0.000142,-2.356091,0.001011,1.571384,0.784253
2333378560.000000,-0.000122,-0.785246,0.000142,-2.356090,0.001010,1.571380,0.784254
2366652160.000000,-0.000124,-0.785237,0.000145,-2.356089,0.001006,1.571377,0.784255
2399912448.000000,-0.000120,-0.785238,0.000150,-2.356093,0.001010,1.571381,0.784249
2433578240.000000,-0.000120,-0.785238,0.000150,-2.356093,0.001010,1.571381,0.784249
2466941184.000000,-0.000127,-0.785236,0.000135,-2.356093,0.001010,1.571379,0.784248
2500019456.000000,-0.000125,-0.785246,0.000145,-2.356089,0.001010,1.571381,0.784249
2533630464.000000,-0.000130,-0.785234,0.000140,-2.356089,0.001009,1.571380,0.784250
2566733056.000000,-0.000122,-0.785236,0.000137,-2.356089,0.001008,1.571381,0.784249
2600014848.000000,-0.000127,-0.785241,0.000149,-2.356088,0.001011,1.571381,0.784253
2633290752.000000,-0.000127,-0.785242,0.000145,-2.356093,0.001011,1.571377,0.784256
2666700544.000000,-0.000127,-0.785239,0.000140,-2.356093,0.001010,1.571381,0.784257
2700088832.000000,-0.000132,-0.785238,0.000138,-2.356102,0.001009,1.571371,0.784252
2733330688.000000,-0.000184,-0.785304,0.000084,-2.356080,0.000978,1.571379,0.784262
2766628864.000000,-0.000261,-0.785341,0.000057,-2.356063,0.000976,1.571356,0.784290
2800047872.000000,-0.000347,-0.785337,0.000042,-2.356065,0.000984,1.571358,0.784290
2833422592.000000,-0.000245,-0.785238,0.000126,-2.356137,0.001008,1.571353,0.784277
2866549760.000000,-0.000230,-0.785187,0.000136,-2.356128,0.001009,1.571371,0.784272
2899786240.000000,-0.000247,-0.785261,0.000099,-2.356081,0.000998,1.571378,0.784265
2933432320.000000,-0.000224,-0.785289,0.000167,-2.356036,0.001003,1.571386,0.784271
2967037696.000000,-0.000145,-0.785228,0.000175,-2.356131,0.001016,1.571368,0.784270
3000142080.000000,-0.000113,-0.785184,0.000154,-2.356133,0.001022,1.571368,0.784267
3033588992.000000,-0.000113,-0.785272,0.000170,-2.356051,0.001011,1.571391,0.784265
3066762496.000000,-0.000113,-0.785291,0.000183,-2.356060,0.001013,1.571370,0.784268
3100019712.000000,-0.000099,-0.785322,0.000268,-2.356017,0.001013,1.571368,0.784283
3133473280.000000,-0.000062,-0.785435,0.000323,-2.356077,0.001018,1.571277,0.784287
3166846720.000000,-0.000107,-0.785436,0.000229,-2.356000,0.000999,1.571347,0.784281
3200028672.000000,-0.000220,-0.785281,-0.000046,-2.356001,0.000942,1.571404,0.784245
3233460992.000000,-0.000692,-0.784960,-0.001288,-2.355291,0.000420,1.572622,0.783306
3266910464.000000,-0.001699,-0.783937,-0.002863,-2.353251,0.000519,1.573783,0.782384
3300241664.000000,-0.002692,-0.782231,-0.003941,-2.351153,0.001060,1.573968,0.781961
3333542400.000000,-0.003362,-0.779708,-0.004437,-2.349539,0.001679,1.574636,0.781795
3366670848.000000,-0.003763,-0.776215,-0.004450,-2.347695,0.001648,1.577898,0.781727
3399878400.000000,-0.003752,-0.770964,-0.004444,-2.344315,0.001624,1.586758,0.779962
3433311744.000000,-0.003252,-0.763519,-0.004143,-2.339359,0.001662,1.604424,0.775906
3466669824.000000,-0.001537,-0.753052,-0.003312,-2.332580,0.001730,1.631628,0.768047
3499930880.000000,0.001372,-0.739388,-0.001861,-2.323958,0.001775,1.669159,0.758377
3533310208.000000,0.005209,-0.722625,-0.000481,-2.313615,0.002123,1.714612,0.747526
3566715392.000000,0.009817,-0.702665,0.000320,-2.302071,0.002889,1.765100,0.738193
3599900672.000000,0.014712,-0.680023,0.000360,-2.289456,0.003832,1.816901,0.732001
3633324544.000000,0.019867,-0.654865,0.000368,-2.276274,0.005116,1.865819,0.729151
