%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1749131737821553769,134,1749131737821130118,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006746500272544244,-0.7850256170045949,-0.0024497221485464543,-2.356195385280408,0.0008563026069337866,1.5711018234496252,0.784271370463901,0.0010327352184598688,-0.00014125721289810132,-3.551391550678464e-05,1.6342926842847775e-06,-0.00014849427730461578,-0.003916194469305886,-0.0007007614877696649,0.1296377182006836,-3.8524208068847656,-0.4204254150390625,21.732662200927734,0.6163061857223511,2.2416248321533203,0.17531728744506836
1749131737855814196,135,1749131737855126828,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006872916149346614,-0.7850206182157308,-0.002450431900775978,-2.356195385280408,0.0008542979137110015,1.5710978317143256,0.7842711415820651,-0.002337635352478229,0.001280763740499562,-2.8738400499666947e-05,0.0032750064729889987,0.00045715462424618874,-0.00022326160303415288,0.00022725599362105785,0.2764272689819336,-3.9238319396972656,-0.4204254150390625,21.732662200927734,0.6044043302536011,2.2489490509033203,0.14876699447631836
1749131737889801058,136,1749131737889115785,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.000687319155104489,-0.7850227126907885,-0.0024532162852815647,-2.3561926777375084,0.0008548014510544518,1.5710976717875356,0.7842706453132041,-0.0014072158000670376,0.0019678610374670403,-0.00045866360674339424,0.0005884810532989495,-0.00020537410677328756,-0.00022802434663380685,0.0006159411097342342,0.2764272689819336,-3.9238319396972656,-0.3807525634765625,21.692989349365234,0.6227148771286011,2.2489490509033203,0.18172597885131836
1749131737923552140,137,1749131737923101041,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006792784063096518,-0.7850314700734949,-0.002450668953907391,-2.3561953852804085,0.0008520298602001073,1.5710993386312546,0.784271370446621,0.0004023185592835673,-0.0010606167187486673,-0.00021928902145888023,-6.056995545391153e-05,-0.00020204896111020924,0.0005062655473530881,0.00038526366075641296,0.1653432846069336,-3.8127479553222656,-0.4204254150390625,21.732662200927734,0.6163061857223511,2.2343006134033203,0.17531728744506836
1749131737957743425,138,1749131737957116818,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006787307626715168,-0.7850238913622618,-0.002450432550236612,-2.356198169340167,0.0008526394151182408,1.5710969994524306,0.7842729138247687,0.0036827761455251267,0.004326777416781789,0.0007036354424107072,-0.003169719895198416,0.00027067411516719803,-0.000477947844241479,0.003850864435364761,0.1653432846069336,-3.8881263732910156,-0.4204254150390625,21.772335052490234,0.6108130216598511,2.2553577423095703,0.16249990463256836
1749131737991595705,139,1749131737991123235,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006785642846218991,-0.7850231123151101,-0.002453216285265067,-2.356195385280408,0.0008522779088669981,1.5710973519727012,0.7842731920000148,0.0010708443353832544,0.0016920896485887508,-0.0007795100716141033,-0.0005677700858091883,-0.00040513327667842373,6.564343340886732e-05,-0.00047131601123592603,0.1653432846069336,-3.8881263732910156,-0.3807525634765625,21.732662200927734,0.6227148771286011,2.2416248321533203,0.16249990463256836
1749131738025566853,140,1749131738025091660,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.00067731445649339,-0.7850256179680124,-0.002447926571723423,-2.356195385280408,0.000854748863723797,1.5710985382443765,0.7842743219688458,0.0010558508891569515,-0.00015234520459314637,0.0013265977698393846,2.4277388644237596e-05,-0.00023793086160552162,0.00016879255231104355,-0.004090748614737597,0.1653432846069336,-3.8524208068847656,-0.4561309814453125,21.732662200927734,0.6227148771286011,2.2416248321533203,0.14876699447631836
1749131738059818969,141,1749131738059100732,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006820295472350552,-0.7850256208569435,-0.002450432237538843,-2.3561946435337178,0.0008512569002946566,1.5710993520546366,0.7842743204971261,-0.0003956118055222932,-0.0014425201105922503,-0.00014262497302414186,0.00032567506931581913,-0.00032197979677135193,0.00024588904227321076,0.0007323214272353943,0.2010488510131836,-3.8524208068847656,-0.4204254150390625,21.732662200927734,0.6227148771286011,2.2343006134033203,0.14876699447631836
1749131738093400828,142,1749131738093179923,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006798948085693047,-0.7850256179675726,-0.0024504319007759784,-2.356192831640665,0.0008523981533548532,1.5710993391340906,0.7842717317612573,-0.00046642278929612203,-0.00037346227145925733,0.001971102868120569,0.00012394609684921799,6.345354839780513e-06,0.0003382914294536727,-0.0022931540083837524,0.2010488510131836,-3.8524208068847656,-0.4204254150390625,21.692989349365234,0.6163061857223511,2.2343006134033203,0.18172597885131836
1749131738127496431,143,1749131738127102742,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0006788194581920698,-0.785029340929992,-0.0024479265717234,-2.356195385280408,0.000853704668002176,1.5710994593368617,0.7842743204444153,0.0031233380923460542,-0.0007269046463087859,0.0008469716894854021,1.0299610147253486e-05,6.571257854357032e-05,0.0003203159595151475,-0.0020054793050127374,0.1653432846069336,-3.8127479553222656,-0.4561309814453125,21.732662200927734,0.6108130216598511,2.2343006134033203,0.14876699447631836
